Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Traffic Type
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,829,HTTPS
2025-10-02 18:06:38,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51657,1334,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51657,2614,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51657,443,54,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51657,622,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51657,443,54,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51657,443,829,HTTPS
2025-10-02 18:06:38,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,157,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,403,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,81,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,54,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,78,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,54,HTTPS
2025-10-02 18:06:39,20.189.172.73,10.132.143.86,TCP,443,51657,157,HTTPS
2025-10-02 18:06:39,20.189.172.73,10.132.143.86,TCP,443,51657,403,HTTPS
2025-10-02 18:06:39,20.189.172.73,10.132.143.86,TCP,443,51657,81,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.189.172.73,TCP,51657,443,54,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.189.172.73,TCP,51657,443,78,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.189.172.73,TCP,51657,443,54,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,10.132.143.86,13.89.179.8,TCP,51658,443,66,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,20.189.172.73,10.132.143.86,TCP,443,51656,54,HTTPS
2025-10-02 18:06:39,20.189.172.73,10.132.143.86,TCP,443,51657,54,HTTPS
2025-10-02 18:06:39,20.189.172.73,10.132.143.86,TCP,443,51657,54,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,13.89.179.8,10.132.143.86,TCP,443,51658,66,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,10.132.143.86,13.89.179.8,TCP,51660,443,66,HTTPS
2025-10-02 18:06:39,140.82.114.22,10.132.143.86,TCP,443,51646,66,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,523,HTTPS
2025-10-02 18:06:39,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:39,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
